no,Replicate,id,j,a,b,c,z,x1,x2,x3,E,y,
17,1,1,22501,0.96097,0.62880,0.28443,-0.39615,48.43890,35.15180,21.37730,-929.50000,-383.58000,
18,1,1,23281,0.85798,0.41870,0.42128,1.40878,44.31930,26.74780,26.85130,2767.12000,3268.91000,
19,1,1,23385,0.70108,0.97359,0.08442,-0.88480,38.04310,48.94350,13.37690,-1280.56000,-832.81000,
20,1,1,27395,0.19511,0.97571,0.74018,-0.29838,17.80440,49.02830,39.60730,-94.59000,177.09000,
21,1,1,27582,0.76151,0.22916,0.14399,-0.02843,40.46050,19.16650,15.75950,-46.55000,397.98000,
22,1,1,31229,0.82012,0.10932,0.88609,-0.99233,42.80480,14.37270,45.44360,-1818.19000,-1325.33000,
23,1,1,31478,0.92934,0.64168,0.45061,-0.65290,47.17370,35.66730,28.02460,-1452.93000,-912.50000,
24,1,1,32521,0.67025,0.77900,0.95924,-1.82532,36.81010,41.15990,48.36950,-2473.28000,-2010.65000,
25,1,1,35132,0.78497,0.57425,0.86395,-1.93110,41.39900,32.96990,44.55790,-3309.66000,-2813.14000,
26,1,1,37070,0.59586,0.96391,0.05285,-0.18405,33.83430,48.55660,12.11400,-210.69000,193.32000,
27,1,1,39007,0.22566,0.44014,0.04257,-1.01785,19.02620,27.60570,11.70290,-368.46000,-133.89000,
28,1,1,40703,0.66781,0.51778,0.82059,-0.80587,36.71260,30.71110,42.82350,-1086.16000,-640.50000,
29,1,1,42870,0.63614,0.67139,0.05388,-0.02965,35.44560,36.85580,12.15510,-37.26000,371.21000,
30,1,1,48424,0.78959,0.53915,0.56551,-1.06740,41.58340,31.56600,32.62060,-1845.73000,-1360.71000,
1,2,1,1981,0.04348,0.61021,0.00997,0.05356,11.73910,34.40850,10.39900,7.38000,174.58000,
2,2,1,2531,0.29017,0.09951,0.69766,1.69930,21.60690,13.98040,37.90650,793.33000,1066.29000,
3,2,1,4150,0.90452,0.61563,0.66717,-0.45089,46.18070,34.62530,36.68700,-961.59000,-423.47000,
4,2,1,5575,0.93773,0.73333,0.94719,-0.33554,47.50910,39.33330,47.88750,-757.36000,-190.04000,
5,2,1,8586,0.89747,0.60273,0.47585,-0.21262,45.89870,34.10920,29.03390,-447.92000,79.21000,
6,2,1,9607,0.73398,0.63032,0.66200,0.33667,39.35940,35.21270,36.48010,521.56000,991.85000,
7,2,1,12280,0.86419,0.39704,0.62571,0.91728,44.56770,25.88180,35.02830,1821.96000,2333.55000,
8,2,1,16304,0.94392,0.18516,0.99755,-0.46002,47.75690,17.40620,49.90200,-1049.17000,-499.30000,
9,2,1,17299,0.55090,0.52479,0.13782,0.01256,32.03590,30.99150,15.51300,12.89000,384.75000,
10,2,1,19227,0.16823,0.45283,0.04090,1.63815,16.72920,28.11310,11.63600,458.46000,670.51000,
11,2,1,21452,0.09728,0.89701,0.92743,1.03786,13.89110,45.88050,47.09720,200.27000,437.16000,
12,2,1,21876,0.73790,0.28337,0.87102,-0.59969,39.51620,21.33490,44.84080,-936.43000,-470.09000,
13,2,1,23958,0.24720,0.63197,0.05546,0.55776,19.88800,35.27880,12.21830,220.61000,471.99000,
14,2,1,24111,0.06433,0.73625,0.89335,-0.89137,12.57300,39.45020,45.73400,-140.91000,75.01000,
15,2,1,24967,0.37472,0.62599,0.40872,2.06093,24.98900,35.03950,26.34870,1286.95000,1603.23000,
16,2,1,26580,0.03560,0.21140,0.66052,-2.06476,11.42420,18.45580,36.42100,-269.48000,-95.36000,
17,2,1,28338,0.56153,0.32213,0.78466,-0.38698,32.46120,22.88510,41.38630,-407.77000,-13.89000,
18,2,1,28798,0.82107,0.42210,0.25629,1.55847,42.84290,26.88380,20.25150,2860.58000,3341.15000,
19,2,1,29166,0.91482,0.35936,0.82316,1.84742,46.59300,24.37420,42.92630,4010.57000,4548.80000,
20,2,1,29722,0.57724,0.98427,0.36410,0.77317,33.08940,49.37090,24.56390,846.55000,1256.38000,
21,2,1,34834,0.98680,0.52949,0.28999,0.47792,49.47190,31.17960,21.59950,1169.70000,1722.20000,
22,2,1,35440,0.80057,0.68051,0.77622,1.47992,42.02270,37.22050,41.04900,2613.40000,3116.90000,
23,2,1,37453,0.46342,0.61599,0.58648,-1.89010,28.53700,34.63950,33.45930,-1539.22000,-1180.75000,
24,2,1,45190,0.72916,0.76719,0.97924,1.46243,39.16640,40.68750,49.16970,2243.38000,2729.90000,
25,2,1,46111,0.28435,0.66059,0.33411,-1.72461,21.37400,36.42340,23.36440,-787.89000,-509.36000,
26,2,1,46331,0.11423,0.06102,0.59756,-0.61209,14.56930,12.44100,33.90220,-129.93000,67.11000,
27,2,1,47742,0.33653,0.98745,0.89885,-0.82461,23.46130,49.49810,45.95380,-453.89000,-118.83000,
28,2,1,48033,0.22781,0.29560,0.09792,0.41615,19.11230,21.82390,13.91670,152.01000,383.88000,
29,2,1,48260,0.94233,0.57001,0.72421,-0.57668,47.69320,32.80050,38.96820,-1311.74000,-758.04000,
30,2,1,49468,0.79715,0.59980,0.12262,-1.35700,41.88610,33.99190,14.90490,-2380.77000,-1908.02000,
1,3,1,6954,0.85677,0.74220,0.24911,-0.32719,44.27070,39.68820,19.96440,-641.26000,-133.90000,
2,3,1,7318,0.26715,0.96761,0.74184,-0.18118,20.68610,48.70450,39.67360,-77.53000,222.71000,
3,3,1,7869,0.81931,0.08649,0.89351,0.70011,42.77230,13.45950,45.74060,1280.83000,1772.75000,
4,3,1,9445,0.52502,0.20171,0.56112,0.52664,31.00100,18.06860,32.44490,506.13000,871.65000,
5,3,1,9566,0.29624,0.35727,0.78274,1.26461,21.84950,24.29090,41.30960,603.73000,892.82000,
6,3,1,11909,0.61551,0.92784,0.68888,-0.30148,34.62050,47.11360,37.55500,-361.35000,74.53000,
7,3,1,13934,0.43342,0.57558,0.98464,1.33701,27.33660,33.02330,49.38560,999.13000,1359.91000,
8,3,1,18352,0.19811,0.36763,0.22349,0.23539,17.92440,24.70510,18.93960,75.63000,303.52000,
9,3,1,18557,0.60785,0.19855,0.85936,-0.62488,34.31410,17.94210,44.37450,-735.78000,-325.32000,
10,3,1,19984,0.13764,0.76563,0.61677,1.67724,15.50550,40.62510,34.67090,403.24000,638.59000,
11,3,1,22879,0.59248,0.42931,0.82320,0.34453,33.69940,27.17250,42.92800,391.27000,803.36000,
12,3,1,23164,0.42459,0.39521,0.98958,-0.49258,26.98340,25.80830,49.58320,-358.65000,-8.43000,
13,3,1,23510,0.36392,0.57113,0.29777,-0.56349,24.55680,32.84510,21.91060,-339.80000,-34.48000,
14,3,1,27557,0.39058,0.05540,0.98181,0.31899,25.62330,12.21580,49.27230,209.44000,532.16000,
15,3,1,28023,0.52993,0.08997,0.58123,-0.37904,31.19740,13.59870,33.24920,-368.91000,-5.09000,
16,3,1,28368,0.51103,0.37122,0.76383,0.08553,30.44130,24.84870,40.55330,79.26000,454.07000,
17,3,1,29070,0.48222,0.04459,0.31966,-0.03751,29.28880,11.78360,22.78660,-32.18000,300.28000,
18,3,1,30096,0.50525,0.04614,0.17815,0.30306,30.20990,11.84570,17.12590,276.58000,612.65000,
19,3,1,30931,0.72206,0.22270,0.55328,-0.15329,38.88230,18.90800,32.13120,-231.76000,213.11000,
20,3,1,31104,0.44597,0.14128,0.67317,1.24980,27.83860,15.65140,36.92670,968.58000,1304.54000,
21,3,1,31364,0.99504,0.23320,0.96107,-0.60063,49.80180,19.32810,48.44270,-1489.69000,-918.90000,
22,3,1,34100,0.27584,0.69336,0.50113,-0.86039,21.03370,37.73430,30.04530,-380.65000,-97.53000,
23,3,1,37618,0.99597,0.87677,0.89415,-1.58137,49.83860,45.07070,45.76600,-3927.95000,-3333.73000,
24,3,1,37646,0.56325,0.39140,0.05091,0.19327,32.52990,25.65590,12.03630,204.52000,572.51000,
25,3,1,40056,0.30776,0.79932,0.00075,0.18432,22.31060,41.97290,10.02990,91.75000,371.85000,
26,3,1,41819,0.15393,0.14112,0.96457,-2.45939,16.15730,15.64480,48.58280,-642.04000,-411.24000,
27,3,1,41986,0.12463,0.29379,0.22785,-1.70700,14.98540,21.75160,19.11420,-383.33000,-187.61000,
28,3,1,48596,0.06718,0.68868,0.19926,0.53348,12.68720,37.54710,17.97040,85.87000,273.26000,
29,3,1,48612,0.03123,0.38570,0.80448,-0.19826,11.24930,25.42800,42.17930,-25.09000,160.01000,
30,3,1,48858,0.76720,0.07445,0.41407,0.00017,40.68780,12.97800,26.56280,0.27000,451.69000,
1,4,1,1197,0.95124,0.74098,0.41700,0.59125,48.04950,39.63930,26.67990,1365.04000,1916.86000,
2,4,1,3129,0.83393,0.64093,0.98526,0.93886,43.35720,35.63710,49.41030,1764.92000,2288.54000,
3,4,1,4775,0.71146,0.68202,0.89907,1.63270,38.45840,37.28080,45.96290,2414.84000,2887.67000,
4,4,1,6119,0.95649,0.14786,0.82598,-0.46283,48.25970,15.91430,43.03900,-1077.94000,-531.39000,
5,4,1,6251,0.61625,0.99404,0.63124,-0.10400,34.65000,49.76170,35.24950,-124.87000,311.64000,
6,4,1,7101,0.36828,0.04613,0.57393,-0.50790,24.73140,11.84520,32.95700,-310.65000,-13.54000,
7,4,1,8256,0.67147,0.54683,0.73278,1.45881,36.85890,31.87320,39.31120,1981.91000,2426.68000,
8,4,1,9397,0.32017,0.49998,0.92793,-0.40860,22.80670,29.99930,47.11710,-212.53000,97.65000,
9,4,1,14017,0.18680,0.64520,0.82223,0.51833,17.47190,35.80800,42.88930,158.23000,416.65000,
10,4,1,14303,0.82311,0.96769,0.29802,0.43793,42.92440,48.70750,21.92080,806.89000,1311.77000,
11,4,1,16197,0.42589,0.53948,0.21633,1.09508,27.03550,31.57930,18.65310,800.41000,1126.00000,
12,4,1,19045,0.16001,0.21437,0.62307,0.68423,16.40040,18.57470,34.92270,184.04000,406.54000,
13,4,1,19113,0.61780,0.20565,0.36452,0.32763,34.71200,18.22580,24.58060,394.77000,789.70000,
14,4,1,21670,0.13304,0.44870,0.18469,0.42308,15.32160,27.94780,17.38760,99.32000,302.87000,
15,4,1,26377,0.53418,0.49598,0.88479,0.41146,31.36710,29.83930,45.39150,404.84000,798.74000,
16,4,1,27141,0.35499,0.21497,0.18427,-0.63449,24.19970,18.59890,17.37080,-371.57000,-88.61000,
17,4,1,27378,0.94386,0.60985,0.16690,1.61490,47.75430,34.39410,16.67600,3682.74000,4216.35000,
18,4,1,28285,0.99573,0.31320,0.41648,1.19743,49.82930,22.52800,26.65940,2973.18000,3525.66000,
19,4,1,29216,0.51672,0.29111,0.03916,0.17538,30.66870,21.64450,11.56650,164.96000,509.86000,
20,4,1,30760,0.22945,0.77174,0.68855,-0.10293,19.17820,40.86970,37.54220,-37.86000,237.34000,
21,4,1,32203,0.42775,0.08167,0.17466,-0.16181,27.11010,13.26670,16.98630,-118.93000,187.43000,
22,4,1,32653,0.06300,0.95641,0.30431,-0.49000,12.51990,48.25650,22.17260,-76.81000,123.82000,
23,4,1,35626,0.03880,0.86329,0.45951,0.68559,11.55200,44.53140,28.38030,91.49000,284.92000,
24,4,1,37123,0.29664,0.04897,0.56501,-1.16189,21.86570,11.95860,32.60050,-555.51000,-287.30000,
25,4,1,38021,0.57159,0.95040,0.20042,1.21108,32.86360,48.01610,18.01680,1307.98000,1707.65000,
26,4,1,41983,0.02636,0.27677,0.27611,0.79921,11.05460,21.07090,21.04420,97.67000,255.33000,
27,4,1,45113,0.47673,0.28609,0.30282,0.33967,29.06920,21.44360,22.11280,287.03000,626.28000,
28,4,1,45920,0.19211,0.40082,0.04862,0.73947,17.68450,26.03300,11.94490,231.26000,451.09000,
29,4,1,46914,0.78260,0.85814,0.47483,-0.11297,41.30410,44.32580,28.99320,-192.73000,298.63000,
30,4,1,47812,0.34735,0.44961,0.78146,-0.93565,23.89410,27.98420,41.25830,-534.19000,-221.01000,
1,5,1,660,0.48297,0.00307,0.08640,0.09784,29.31900,10.12260,13.45620,84.10000,405.87000,
2,5,1,3327,0.43823,0.50780,0.11385,2.47703,27.52920,30.31200,14.55400,1877.23000,2202.39000,
3,5,1,3834,0.01440,0.89134,0.57900,-0.69976,10.57610,45.65370,33.15980,-78.27000,111.30000,
4,5,1,4027,0.53801,0.61722,0.96975,0.31807,31.52030,34.68890,48.78990,316.01000,719.70000,
5,5,1,13282,0.64606,0.99508,0.72558,-0.22832,35.84250,49.80320,39.02330,-293.32000,158.93000,
6,5,1,14651,0.84947,0.65786,0.02327,0.72195,43.97900,36.31460,10.93070,1396.35000,1888.39000,
7,5,1,19344,0.48477,0.62930,0.40578,-0.94451,29.39070,35.17200,26.23130,-815.88000,-455.57000,
8,5,1,20185,0.34835,0.20442,0.18563,-0.35442,23.93390,18.17690,17.42500,-203.03000,76.92000,
9,5,1,20476,0.74364,0.94158,0.37390,-0.39521,39.74540,47.66320,24.95600,-624.31000,-149.24000,
10,5,1,21619,0.77112,0.04514,0.47898,-1.16115,40.84470,11.80570,29.15900,-1937.14000,-1482.73000,
11,5,1,21686,0.96903,0.61299,0.45082,-0.63975,48.76130,34.51940,28.03300,-1521.12000,-965.95000,
12,5,1,22518,0.28386,0.04489,0.88956,-0.29591,21.35440,11.79570,45.58250,-134.94000,140.99000,
13,5,1,24765,0.16933,0.52066,0.98364,-2.28042,16.77310,30.82620,49.34560,-641.57000,-388.67000,
14,5,1,24771,0.90644,0.58519,0.87231,1.40902,46.25750,33.40770,44.89250,3014.96000,3560.84000,
15,5,1,25759,0.56764,0.90963,0.95062,-1.09302,32.70540,46.38540,48.02490,-1169.14000,-742.67000,
16,5,1,28406,0.61167,0.44352,0.69418,-1.46655,34.46700,27.74070,37.76730,-1742.22000,-1327.04000,
17,5,1,29170,0.43298,0.22254,0.85152,-0.09965,27.31910,18.90170,44.06100,-74.37000,266.78000,
18,5,1,29660,0.59722,0.35404,0.83089,-0.97490,33.88890,24.16160,43.23560,-1119.63000,-708.34000,
19,5,1,34173,0.90125,0.83342,0.46081,-0.50754,46.05020,43.33680,28.43260,-1076.30000,-539.03000,
20,5,1,34264,0.94564,0.29718,0.31210,-0.05892,47.82550,21.88720,22.48390,-134.77000,392.85000,
21,5,1,35125,0.91905,0.95626,0.59873,-1.52766,46.76190,48.25060,33.94920,-3340.49000,-2785.67000,
22,5,1,38195,0.16942,0.61191,0.82249,0.33939,16.77670,34.47650,42.89980,95.52000,345.67000,
23,5,1,40039,0.01227,0.35331,0.78768,-0.49707,10.49070,24.13250,41.50710,-54.70000,120.84000,
24,5,1,40855,0.69098,0.35401,0.36590,0.48170,37.63910,24.16050,24.63590,682.43000,1112.61000,
25,5,1,41954,0.46607,0.79685,0.38868,0.81082,28.64290,41.87420,25.54710,665.21000,1024.06000,
26,5,1,45369,0.83486,0.02979,0.09203,-0.42571,43.39440,11.19180,13.68100,-801.65000,-337.83000,
27,5,1,48183,0.34253,0.15890,0.48900,0.28955,23.70130,16.35620,29.56020,162.66000,450.59000,
28,5,1,48242,0.03078,0.81351,0.34469,-0.67617,11.23110,42.54050,23.78760,-85.29000,98.35000,
29,5,1,48855,0.11253,0.90627,0.88508,0.37425,14.50140,46.25070,45.40310,78.70000,320.37000,
30,5,1,49736,0.62548,0.26017,0.09927,-0.24243,35.01920,20.40700,13.97080,-297.30000,92.27000,
1,6,1,2267,0.52787,0.17341,0.93000,-0.50949,31.11470,16.93640,47.20010,-493.24000,-112.96000,
2,6,1,2631,0.49056,0.14316,0.63359,-0.63604,29.62240,15.72620,35.34350,-558.12000,-205.82000,
3,6,1,4144,0.22800,0.32630,0.32272,-0.95380,19.11990,23.05210,22.90890,-348.68000,-106.52000,
4,6,1,4971,0.92410,0.50288,0.00255,-0.28377,46.96390,30.11500,10.10220,-625.87000,-111.02000,
5,6,1,6096,0.29698,0.81265,0.03209,1.48458,21.87900,42.50590,11.28350,710.66000,988.24000,
6,6,1,11595,0.23696,0.33550,0.39202,-1.24818,19.47850,23.41980,25.68060,-473.57000,-224.69000,
7,6,1,11817,0.75966,0.82790,0.60120,0.26925,40.38640,43.11600,34.04820,439.16000,925.19000,
8,6,1,13661,0.79316,0.18121,0.12204,-1.40819,41.72640,17.24830,14.88150,-2451.78000,-1997.39000,
9,6,1,13748,0.58495,0.97432,0.58038,-0.16681,33.39810,48.97280,33.21510,-186.07000,235.10000,
10,6,1,13883,0.96908,0.53853,0.29241,1.63035,48.76330,31.54130,21.69660,3876.74000,4422.61000,
11,6,1,14070,0.94235,0.42266,0.82918,-0.94828,47.69410,26.90640,43.16730,-2157.08000,-1605.06000,
12,6,1,15138,0.52223,0.42910,0.37938,0.04072,30.88900,27.16410,25.17500,38.85000,405.08000,
13,6,1,16954,0.96339,0.65311,0.47604,0.21748,48.53540,36.12440,29.04180,512.32000,1067.84000,
14,6,1,18142,0.27340,0.05068,0.86606,0.42330,20.93600,12.02710,44.64230,185.54000,456.57000,
15,6,1,19237,0.38233,0.02927,0.63453,-0.34675,25.29310,11.17100,35.38140,-221.83000,82.65000,
16,6,1,19750,0.59412,0.46373,0.65012,-1.71931,33.76480,28.54900,36.00460,-1960.12000,-1552.92000,
17,6,1,24428,0.28951,0.83157,0.15877,-0.16483,21.58030,43.26270,16.35070,-76.76000,203.65000,
18,6,1,26892,0.64445,0.58100,0.19460,1.02543,35.77810,33.23990,17.78400,1312.63000,1726.43000,
19,6,1,34045,0.32223,0.06088,0.07835,0.04347,22.88930,12.43520,13.13420,22.78000,282.24000,
20,6,1,34538,0.31978,0.34209,0.11239,-0.70550,22.79120,23.68380,14.49580,-366.46000,-95.37000,
21,6,1,35242,0.79473,0.83762,0.34982,-0.33406,41.78930,43.50460,23.99290,-583.39000,-93.00000,
22,6,1,36275,0.13761,0.52321,0.20298,1.97704,15.50420,30.92840,18.11930,475.24000,684.33000,
23,6,1,36417,0.07544,0.59952,0.85579,-1.13413,13.01770,33.98080,44.23140,-192.19000,21.20000,
24,6,1,39988,0.70685,0.68267,0.81207,0.19670,38.27410,37.30690,42.48270,288.14000,755.67000,
25,6,1,40685,0.94743,0.01600,0.69445,-1.49772,47.89730,10.63990,37.77810,-3435.99000,-2903.60000,
26,6,1,41293,0.88718,0.23966,0.96234,-1.96991,45.48730,19.58650,48.49380,-4075.93000,-3547.97000,
27,6,1,42533,0.81649,0.39954,0.56454,0.60342,42.65950,25.98180,32.58140,1098.12000,1588.27000,
28,6,1,44474,0.10255,0.13959,0.61384,1.40867,14.10200,15.58380,34.55340,280.14000,476.30000,
29,6,1,45768,0.44949,0.48452,0.23650,0.27798,27.97980,29.38090,19.46010,217.63000,551.26000,
30,6,1,45813,0.93111,0.51124,0.30064,0.73821,47.24460,30.44960,22.02550,1647.71000,2177.64000,
1,7,1,1286,0.43127,0.44576,0.09978,-1.17035,27.25080,27.83040,13.99110,-869.11000,-549.78000,
2,7,1,1636,0.67948,0.15252,0.68133,0.12761,37.17920,16.10070,37.25310,176.40000,606.55000,
3,7,1,2993,0.03437,0.92020,0.23968,-0.28908,11.37500,46.80820,19.58710,-37.40000,147.74000,
4,7,1,3304,0.33766,0.02463,0.56600,-0.01669,23.50630,10.98510,32.64010,-9.22000,274.46000,
5,7,1,3519,0.89483,0.57687,0.93331,1.24042,45.79320,33.07470,47.33240,2601.18000,3144.52000,
6,7,1,8256,0.67147,0.54683,0.73278,1.45881,36.85890,31.87320,39.31120,1981.91000,2426.68000,
7,7,1,11959,0.97898,0.74649,0.35518,-1.65905,49.15910,39.85970,24.20720,-4009.27000,-3448.61000,
8,7,1,14197,0.21428,0.46268,0.04224,2.26647,18.57120,28.50720,11.68980,781.68000,1012.59000,
9,7,1,15377,0.49653,0.92535,0.68787,-0.34928,29.86110,47.01410,37.51500,-311.45000,76.69000,
10,7,1,16398,0.62209,0.67722,0.33095,1.04356,34.88380,37.08870,23.23800,1269.88000,1684.05000,
11,7,1,16453,0.77098,0.81255,0.51002,0.64148,40.83910,42.50220,30.40060,1069.88000,1556.17000,
12,7,1,17920,0.26462,0.90550,0.77026,0.96837,20.58480,46.22010,40.81030,410.33000,708.21000,
13,7,1,18508,0.58821,0.39160,0.45669,-0.38448,33.52850,25.66420,28.26760,-432.21000,-38.00000,
14,7,1,23191,0.92752,0.24222,0.41242,0.38157,47.10060,19.68880,26.49660,846.51000,1368.70000,
15,7,1,23767,0.33514,0.20500,0.76497,-0.19022,23.40560,18.20020,40.59880,-104.21000,193.65000,
16,7,1,27225,0.32700,0.31308,0.57104,-0.76739,23.08010,22.52300,32.84170,-408.78000,-117.62000,
17,7,1,28832,0.14971,0.41110,0.03321,-1.54337,15.98850,26.44390,11.32830,-394.54000,-191.88000,
18,7,1,29663,0.52787,0.00509,0.62356,0.85829,31.11500,10.20360,34.94230,830.94000,1192.24000,
19,7,1,30431,0.21409,0.32526,0.36142,0.02956,18.56340,23.01030,24.45660,10.19000,248.29000,
20,7,1,31059,0.56397,0.28210,0.55896,-1.18320,32.55870,21.28380,32.35820,-1254.27000,-870.04000,
21,7,1,33100,0.51641,0.08331,0.12352,0.47525,30.65640,13.33220,14.94060,446.65000,786.49000,
22,7,1,36166,0.95694,0.26422,0.11733,-0.74683,48.27740,20.56870,14.69300,-1740.65000,-1217.62000,
23,7,1,36205,0.49576,0.24955,0.06395,0.06660,29.83060,19.98200,12.55810,59.27000,395.11000,
24,7,1,37698,0.33464,0.47734,0.04757,0.71021,23.38570,29.09380,11.90270,388.41000,668.27000,
25,7,1,41115,0.55467,0.82339,0.72073,1.21556,32.18680,42.93560,38.82910,1259.31000,1667.94000,
26,7,1,41450,0.66644,0.59994,0.25781,-0.29931,36.65750,33.99770,20.31230,-402.20000,23.68000,
27,7,1,41492,0.39786,0.54291,0.38845,-0.91258,25.91430,31.71630,25.53800,-612.85000,-291.45000,
28,7,1,46962,0.78594,0.40630,0.28430,-0.45448,41.43760,26.25200,21.37200,-780.37000,-313.37000,
29,7,1,47829,0.98670,0.04446,0.26137,1.75075,49.46800,11.77840,20.45490,4284.23000,4816.15000,
30,7,1,49256,0.17375,0.02310,0.22294,-0.55198,16.95000,10.92390,18.91770,-158.58000,45.76000,
1,8,1,3199,0.69773,0.12287,0.08181,0.57659,37.90910,14.91480,13.27260,828.62000,1240.90000,
2,8,1,4740,0.19538,0.56745,0.26038,-0.19232,17.81510,32.69800,20.41520,-61.04000,175.23000,
3,8,1,4774,0.47696,0.21834,0.33230,0.08722,29.07840,18.73350,23.29210,73.75000,411.56000,
4,8,1,5104,0.38846,0.46424,0.01484,0.78325,25.53830,28.56960,10.59360,510.84000,810.38000,
5,8,1,5545,0.66298,0.59551,0.65419,0.65875,36.51940,33.82020,36.16770,878.55000,1318.73000,
6,8,1,5825,0.89743,0.96462,0.36063,-0.40760,45.89710,48.58490,24.42530,-858.62000,-321.64000,
7,8,1,7372,0.01909,0.86292,0.17283,-0.49842,10.76370,44.51680,16.91330,-57.75000,116.32000,
8,8,1,7554,0.11308,0.72320,0.84104,0.04784,14.52330,38.92800,43.64150,10.09000,242.89000,
9,8,1,8257,0.16251,0.42870,0.92459,0.25858,16.50030,27.14780,46.98370,70.40000,314.54000,
10,8,1,8481,0.92736,0.07980,0.62634,-1.81234,47.09460,13.19200,35.05360,-4019.59000,-3495.40000,
11,8,1,10071,0.57650,0.69853,0.54916,0.94385,33.06000,37.94110,31.96640,1031.59000,1437.10000,
12,8,1,12609,0.60023,0.49755,0.48102,0.81570,34.00930,29.90220,29.24070,943.47000,1347.70000,
13,8,1,16374,0.51727,0.48901,0.88735,-0.78548,30.69080,29.56030,45.49410,-739.86000,-352.90000,
14,8,1,17466,0.51241,0.22886,0.66167,-1.26291,30.49660,19.15440,36.46670,-1174.56000,-808.98000,
15,8,1,18735,0.31175,0.71584,0.99957,-0.26101,22.47000,38.63370,49.98280,-131.78000,186.53000,
16,8,1,19193,0.66836,0.91430,0.52292,-1.61377,36.73420,46.57210,30.91690,-2177.63000,-1727.80000,
17,8,1,19694,0.05024,0.17830,0.85302,-0.63214,12.00950,17.13180,44.12080,-91.17000,95.18000,
18,8,1,21094,0.69673,0.50102,0.77385,0.24573,37.86910,30.04080,40.95390,352.40000,807.08000,
19,8,1,29388,0.81080,0.56199,0.29810,0.34033,42.43220,32.47970,21.92420,612.75000,1096.48000,
20,8,1,31123,0.81516,0.65139,0.81285,-1.11663,42.60650,36.05580,42.51380,-2027.03000,-1517.40000,
21,8,1,33405,0.09813,0.69156,0.25903,-0.59152,13.92510,37.66250,20.36110,-114.70000,87.57000,
22,8,1,33605,0.07038,0.49303,0.48663,0.86273,12.81510,29.72120,29.46530,141.68000,334.02000,
23,8,1,33717,0.77983,0.46298,0.31217,0.63917,41.19320,28.51900,22.48690,1084.60000,1552.53000,
24,8,1,35005,0.00483,0.97976,0.82515,-0.38763,10.19320,49.19050,43.00610,-40.28000,158.85000,
25,8,1,38144,0.30481,0.06102,0.74486,0.34856,22.19250,12.44090,39.79420,171.67000,450.83000,
26,8,1,44970,0.94523,0.47651,0.12256,-0.11207,47.80920,29.06050,14.90220,-256.16000,270.89000,
27,8,1,47616,0.59895,0.05607,0.23629,-2.93625,33.95810,12.24270,19.45150,-3385.94000,-3009.66000,
28,8,1,48152,0.48143,0.64140,0.76157,-0.91341,29.25740,35.65590,40.46280,-781.87000,-408.18000,
29,8,1,48599,0.52682,0.38257,0.97644,0.07350,31.07290,25.30260,49.05760,70.97000,461.06000,
30,8,1,48689,0.82335,0.17406,0.98164,1.13189,42.93390,16.96230,49.26580,2086.44000,2587.01000,
1,9,1,192,0.73608,0.44499,0.00765,0.09241,39.44330,27.79940,10.30580,143.76000,581.30000,
2,9,1,1425,0.69752,0.19059,0.95377,0.64333,37.90080,17.62370,48.15070,924.13000,1373.91000,
3,9,1,2216,0.37067,0.45995,0.30194,-0.50781,24.82690,28.39810,22.07770,-313.00000,-9.26000,
4,9,1,3891,0.28406,0.61307,0.93030,0.02703,21.36250,34.52290,47.21210,12.33000,312.69000,
